Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,103.849998,103.949997,103.510002,103.849998,97.505753,1680100
2015-10-13,103.290001,104.169998,102.989998,103.089996,96.792168,2221000
2015-10-14,103.050003,103.440002,102.379997,102.559998,96.294556,1902900
2015-10-15,102.919998,104.120003,102.629997,104.110001,97.749870,2218200
2015-10-16,104.370003,104.540001,103.849998,104.510002,98.125427,1902100
2015-10-19,104.300003,104.669998,103.970001,104.629997,98.238098,1457900
2015-10-20,104.389999,104.910004,104.190002,104.510002,98.125427,1806100
2015-10-21,104.709999,104.860001,103.589996,103.690002,97.355537,1777800
2015-10-22,104.279999,105.430000,104.120003,105.209999,98.782669,1979200
2015-10-23,106.129997,106.470001,105.669998,106.309998,99.815475,2404300
2015-10-26,106.260002,106.300003,105.849998,106.050003,99.571365,3078300
2015-10-27,105.830002,105.940002,105.260002,105.709999,99.252136,1685900
2015-10-28,105.940002,107.120003,105.620003,107.099998,100.557190,2421700
2015-10-29,106.720001,107.180000,106.680000,106.940002,100.406998,2666800
2015-10-30,107.139999,107.279999,106.500000,106.529999,100.022018,2203200
2015-11-02,106.779999,108.000000,106.680000,107.930000,101.336510,3396400
2015-11-03,107.709999,108.570000,107.550003,108.199997,101.590019,3100800
2015-11-04,108.510002,108.529999,107.570000,107.919998,101.327110,2891200
2015-11-05,108.040001,108.230003,107.209999,107.820000,101.233231,2144000
2015-11-06,107.570000,107.849998,106.919998,107.839996,101.251984,2078900
2015-11-09,107.900002,107.900002,106.199997,106.760002,100.237984,2620800
2015-11-10,106.459999,107.040001,106.290001,107.000000,100.463310,1605400
2015-11-11,107.269997,107.269997,106.529999,106.540001,100.031425,1342200
2015-11-12,105.970001,106.160004,104.949997,104.949997,98.538559,3110400
2015-11-13,104.760002,104.879997,103.809998,103.839996,97.496361,3003700
2015-11-16,103.800003,105.360001,103.690002,105.349998,98.914116,2635400
2015-11-17,105.510002,106.089996,104.970001,105.220001,98.792061,2243300
2015-11-18,105.580002,107.000000,105.540001,106.900002,100.369423,2106100
2015-11-19,106.910004,107.080002,106.620003,106.760002,100.237984,1623400
2015-11-20,107.230003,107.599998,106.980003,107.220001,100.669876,1563500
2015-11-23,107.230003,107.589996,106.879997,107.110001,100.566597,3145000
2015-11-24,106.570000,107.589996,106.309998,107.389999,100.829491,2032600
2015-11-25,107.510002,107.660004,107.250000,107.470001,100.904610,1820300
2015-11-27,107.589996,107.760002,107.220001,107.629997,101.054832,552400
2015-11-30,107.779999,107.849998,107.110001,107.169998,100.622932,3618100
2015-12-01,107.589996,108.209999,107.370003,108.180000,101.571236,2443600
2015-12-02,108.099998,108.269997,106.879997,107.050003,100.510262,2937200
2015-12-03,107.290001,107.480003,105.059998,105.449997,99.008011,3345600
2015-12-04,105.809998,107.540001,105.620003,107.389999,100.829491,4520000
2015-12-07,107.230003,107.269997,106.059998,106.550003,100.040825,3000500
2015-12-08,105.940002,106.400002,105.269997,105.910004,99.439911,3149600
2015-12-09,105.550003,106.750000,104.480003,105.000000,98.585503,4179800
2015-12-10,105.180000,106.059998,104.919998,105.309998,98.876564,3684900
2015-12-11,104.169998,104.430000,103.070000,103.239998,96.933014,5100700
2015-12-14,103.360001,103.720001,102.180000,103.610001,97.280411,7216200
2015-12-15,104.440002,105.190002,104.360001,104.720001,98.322617,2918000
2015-12-16,105.459999,106.419998,104.699997,106.239998,99.749741,5972400
2015-12-17,106.440002,106.470001,104.680000,104.680000,98.285057,4939900
2015-12-18,104.169998,104.360001,102.900002,102.900002,96.613792,4207700
2015-12-21,103.190002,103.279999,102.370003,103.129997,97.381485,3240700
2015-12-22,103.650002,104.260002,103.040001,104.059998,98.259636,2875300
2015-12-23,104.629997,105.400002,104.510002,105.360001,99.487175,3342300
2015-12-24,105.220001,105.599998,105.080002,105.230003,99.364410,1460500
2015-12-28,104.879997,105.000000,104.320000,105.000000,99.147247,3479600
2015-12-29,105.690002,106.239998,105.540001,106.120003,100.204819,2508300
2015-12-30,105.959999,106.000000,105.250000,105.320000,99.449402,2405900
2015-12-31,104.930000,105.320000,104.300003,104.300003,98.486252,3652200
2016-01-04,102.580002,102.949997,101.580002,102.739998,97.013222,6138300
2016-01-05,102.900002,103.180000,102.300003,102.970001,97.230392,3652300
2016-01-06,101.529999,102.230003,100.949997,101.589996,95.927322,3732800
2016-01-07,99.900002,100.800003,98.870003,99.099998,93.576111,9256200
2016-01-08,99.610001,99.989998,97.779999,97.970001,92.509087,7015800
2016-01-11,98.550003,98.669998,96.779999,97.910004,92.452446,6862800
2016-01-12,98.800003,99.169998,97.279999,98.580002,93.085098,4457300
2016-01-13,99.000000,99.199997,95.779999,96.040001,90.686676,6163000
2016-01-14,96.360001,98.180000,95.330002,97.510002,92.074730,5085100
2016-01-15,95.050003,95.879997,94.220001,95.459999,90.139008,8101700
2016-01-19,96.570000,96.669998,94.500000,95.360001,90.044579,7435700
2016-01-20,94.000000,95.269997,91.790001,94.419998,89.156967,13844900
2016-01-21,94.699997,95.959999,93.820000,94.790001,89.506348,7169500
2016-01-22,96.330002,96.889999,95.949997,96.809998,91.413773,3701500
2016-01-25,96.639999,96.650002,95.110001,95.220001,89.912384,4470500
2016-01-26,95.599998,96.820000,95.440002,96.669998,91.281570,3331400
2016-01-27,96.400002,97.320000,95.050003,95.570000,90.242874,5202400
2016-01-28,96.559998,96.660004,95.050003,95.949997,90.601692,4540700
2016-01-29,96.449997,98.360001,96.349998,98.330002,92.849030,5005400
2016-02-01,97.750000,98.809998,97.370003,98.349998,92.867912,3868900
2016-02-02,97.500000,97.550003,96.160004,96.449997,91.073814,3279600
2016-02-03,97.089996,97.290001,94.889999,97.029999,91.621483,5457300
2016-02-04,96.790001,97.919998,96.470001,97.260002,91.838676,3431800
2016-02-05,96.940002,97.000000,94.949997,95.260002,89.950157,3993600
2016-02-08,94.199997,94.379997,92.500000,93.779999,88.552650,6303900
2016-02-09,92.839996,94.470001,92.699997,93.660004,88.439346,4793900
2016-02-10,94.190002,95.269997,93.620003,93.720001,88.496010,3580000
2016-02-11,92.389999,93.059998,91.580002,92.559998,87.400658,7239700
2016-02-12,93.470001,94.379997,93.010002,94.360001,89.100311,2948100
2016-02-16,95.620003,96.089996,94.959999,96.080002,90.724449,3577700
2016-02-17,96.769997,97.930000,96.589996,97.669998,92.225838,3635000
2016-02-18,97.900002,97.919998,97.089996,97.279999,91.857552,2432100
2016-02-19,96.849998,97.360001,96.430000,97.300003,91.876442,2243700
2016-02-22,98.239998,98.800003,98.110001,98.720001,93.217308,2235400
2016-02-23,98.379997,98.519997,97.470001,97.529999,92.093628,3203900
2016-02-24,96.580002,98.139999,95.989998,98.029999,92.565742,3253400
2016-02-25,98.269997,99.190002,97.820000,99.190002,93.661087,2942600
2016-02-26,99.669998,99.760002,98.959999,99.110001,93.585556,3194300
2016-02-29,99.120003,99.690002,98.320000,98.320000,92.839577,2749400
2016-03-01,99.129997,100.680000,98.839996,100.660004,95.049156,2955700
2016-03-02,100.519997,101.239998,100.260002,101.220001,95.577950,3591400
2016-03-03,101.129997,101.750000,100.849998,101.720001,96.050064,2703100
2016-03-04,101.889999,102.599998,101.400002,102.070000,96.380562,2442100
2016-03-07,101.650002,102.559998,101.559998,102.279999,96.578857,2963900
